Work Order #,CE Work Order #,Installation,Facility Number,Facility Name,Room/Area,Request DateTime,Requesting Organization,Work Category,Trade,Priority Code,Problem Description,Requested Action,Mission Impact,Status,Assigned Shop,Actions Taken,Completion Date
USSPC-FAC-2026-0075,TRIRIGA-26-12075,Vandenberg SFB,51,Launch Operations Building 51,Control Room,2026-02-06 0220Z,USSPACECOM J4,Urgent,HVAC,2,Refrigerant leak suspected on split system unit; ice formation on suction line.,Locate and repair refrigerant leak; recharge system to spec.,No � personnel safety concern.,Submitted,CE HVAC,,
USSPC-FAC-2026-0076,TRIRIGA-26-12076,Vandenberg SFB,134,Range Control Facility 134,Ops Floor,2026-02-06 0315Z,USSPACECOM J6,Urgent,Lighting,2,LED retrofit fixture failed prematurely; driver humming audible.,Replace failed LED driver and fixture.,Yes � degrades ground station equipment reliability.,Submitted,CE Lighting,,
USSPC-FAC-2026-0077,TRIRIGA-26-12077,Schriever SFB,220,Mission Support Building 220,Electrical Closet,2026-02-06 0335Z,USSPACECOM J4,Urgent,Plumbing,2,Sewer odor present in restroom corridor; possible dry trap or vent issue.,Locate and correct source of sewer gas odor.,No � personnel safety concern.,Completed,CE Plumbing,Technician inspected and identified Found faulty mixing valve. Rebuilt backflow preventer with new internals; passed test. System pressure tested and verified at normal operating range. No further leaks observed.,2026-02-09
USSPC-FAC-2026-0078,TRIRIGA-26-12078,Peterson SFB,145,Operations Building 145,Conference Room 3,2026-02-06 0355Z,USSPACECOM J3,Preventive Maintenance,Structural,4,Scheduled annual roof inspection and condition assessment.,Service overhead doors and dock leveler mechanisms.,No � preventive maintenance.,Approved,CE Structural,,
USSPC-FAC-2026-0079,TRIRIGA-26-12079,Peterson SFB,210,Operations Building 210,UPS Room,2026-02-06 0355Z,USSPACECOM J6,Urgent,Fire Protection,2,Sprinkler system pressure gauge reading below minimum; 39 PSI observed.,Investigate low sprinkler pressure and restore to minimum.,Yes � supports space domain awareness operations.,In Progress,CE Fire Protection,,
USSPC-FAC-2026-0080,TRIRIGA-26-12080,Buckley SFB,312,Operations Annex 312,Electrical Room,2026-02-06 0420Z,USSPACECOM J6,Urgent,Electrical,3,Arc flash indicators detected during routine thermographic scan of switchgear.,De-energize and inspect switchgear; address arc flash indicators.,No � quality of life issue; no mission degradation.,Approved,CE Electrical,,
USSPC-FAC-2026-0081,TRIRIGA-26-12081,Schriever SFB,400,Satellite Operations Facility 400,Mechanical Room,2026-02-06 0550Z,USSPACECOM J4,Routine,HVAC,3,Return air temperature sensor reading erratic values; zone control degraded.,Replace return air temperature sensor and recalibrate.,Potential � could impact mission systems if leak reaches equipment.,Approved,CE HVAC,,
USSPC-FAC-2026-0082,TRIRIGA-26-12082,Vandenberg SFB,134,Range Control Facility 134,Telemetry Room,2026-02-06 0650Z,USSPACECOM J3,Urgent,Plumbing,3,Domestic water pressure low throughout facility; measured at 31 PSI vs 60 PSI normal.,Investigate low water pressure and restore to normal.,No � aesthetic/comfort issue only.,Completed,CE Plumbing,Responded and isolated affected section. Identified water hammer from quick-closing valve. Rebuilt backflow preventer with new internals; passed test. Flow verified at all fixtures. Area cleaned and restored.,2026-02-09
USSPC-FAC-2026-0083,TRIRIGA-26-12083,Schriever SFB,400,Satellite Operations Facility 400,Ground Station Control Room,2026-02-06 0715Z,USSPACECOM J2,Urgent,Power Production,2,Generator exhaust leak detected at flexible coupling.,Repair exhaust leak and verify emissions containment.,No � personnel safety and usability concern.,Approved,CE Power Production,,
USSPC-FAC-2026-0084,TRIRIGA-26-12084,Buckley SFB,312,Operations Annex 312,Rooftop,2026-02-06 0750Z,USSPACECOM J3,Routine,HVAC,3,Ductwork insulation degraded in mechanical chase; condensation dripping onto ceiling tiles.,Replace degraded duct insulation and remediate moisture.,No � personnel safety and usability concern.,Submitted,CE HVAC,,
USSPC-FAC-2026-0085,TRIRIGA-26-12085,Peterson SFB,3,Power Generation Facility 3,Generator Bay 1,2026-02-06 1420Z,USSPACECOM J2,Urgent,Lighting,2,Parking lot light pole 20 dark; ballast or photocell suspected.,Replace ballast or photocell and restore pole light operation.,Yes � impacts secure communications capability.,In Progress,CE Lighting,,
USSPC-FAC-2026-0086,TRIRIGA-26-12086,Schriever SFB,220,Mission Support Building 220,Training Room,2026-02-06 1510Z,USSPACECOM J3,Emergency,Power Production,2,Fuel quality test results indicate water contamination in storage tank.,"Drain contaminated fuel, polish tank, and resample.",Yes � affects classified processing environment.,In Progress,CE Power Production,,
USSPC-FAC-2026-0087,TRIRIGA-26-12087,Peterson SFB,88,Data Processing Facility 88,Mechanical Room,2026-02-06 1540Z,USSPACECOM J6,Routine,Lighting,4,Flickering fluorescent fixtures in office area causing occupant complaints.,Replace flickering fixtures with new lamps or ballasts.,No � general facility maintenance.,Submitted,CE Lighting,,
USSPC-FAC-2026-0088,TRIRIGA-26-12088,Vandenberg SFB,77,Secure Data Facility 77,Server Room A,2026-02-06 1730Z,USSPACECOM J2,Preventive Maintenance,Power Production,4,Quarterly fuel sampling and polishing service.,Investigate capacity loss and perform corrective maintenance.,No � preventive maintenance.,In Progress,CE Power Production,,
USSPC-FAC-2026-0089,TRIRIGA-26-12089,Vandenberg SFB,134,Range Control Facility 134,Exterior HVAC Pad,2026-02-06 1800Z,USSPACECOM J6,Preventive Maintenance,HVAC,4,Seasonal changeover inspection required for heating/cooling systems.,"Inspect, clean, and document AHU condition.",No � preventive maintenance.,Completed,CE HVAC,Inspected system per work order. Discovered failed economizer actuator. Replaced communication card and restored BAS integration. Verified airflow and temperature within acceptable parameters. Documentation submitted.,2026-02-10
USSPC-FAC-2026-0090,TRIRIGA-26-12090,Peterson SFB,105,Communications Hub 105,Ground Floor Lobby,2026-02-06 1840Z,USSPACECOM J3,Urgent,Electrical,3,Phase imbalance measured at 6% on main distribution panel.,Balance phase loading on main distribution panel.,Yes � supports satellite command and control systems.,In Progress,CE Electrical,,
USSPC-FAC-2026-0091,TRIRIGA-26-12091,Peterson SFB,210,Operations Building 210,Ops Floor,2026-02-06 1920Z,USSPACECOM J2,Routine,Lighting,4,Flickering fluorescent fixtures in office area causing occupant complaints.,Replace flickering fixtures with new lamps or ballasts.,No � routine upkeep; no operational impact.,In Progress,CE Lighting,,
USSPC-FAC-2026-0092,TRIRIGA-26-12092,Schriever SFB,155,Operations Building 155,Ops Floor,2026-02-06 2240Z,USSPACECOM J4,Urgent,Plumbing,2,Water hammer occurring in supply piping when fixtures cycle.,Install water hammer arrestors and secure piping supports.,No � routine upkeep; no operational impact.,Approved,CE Plumbing,,
USSPC-FAC-2026-0093,TRIRIGA-26-12093,Vandenberg SFB,134,Range Control Facility 134,Generator Enclosure,2026-02-07 0005Z,USSPACECOM J3,Routine,Structural,4,Door frame misaligned; secure door not seating properly in frame.,Adjust or replace door frame hardware for proper operation.,No � routine upkeep; no operational impact.,Completed,CE Structural,Technician assessed condition and documented findings. Discovered freeze-thaw damage to concrete surface. Applied new sealant and verified weathertight condition. Area safe for occupancy. Follow-up inspection scheduled if required.,2026-02-19
USSPC-FAC-2026-0094,TRIRIGA-26-12094,Peterson SFB,145,Operations Building 145,Comm Closet,2026-02-07 0055Z,USSPACECOM J3,Urgent,HVAC,2,Intermittent fault on CRAC unit 6; temperature cycling outside acceptable range.,Troubleshoot CRAC unit fault and restore environmental controls.,Yes � supports satellite command and control systems.,Completed,CE HVAC,Technician responded and found Identified refrigerant undercharge due to slow leak at service valve. Replaced communication card and restored BAS integration. System tested and verified operational at 84�F. All work per UFC 3-410-01.,2026-02-11
USSPC-FAC-2026-0095,TRIRIGA-26-12095,Peterson SFB,88,Data Processing Facility 88,Mechanical Room,2026-02-07 0530Z,USSPACECOM J4,Emergency,Fire Protection,1,Sprinkler system pressure gauge reading below minimum; 38 PSI observed.,Investigate low sprinkler pressure and restore to minimum.,Yes � degrades ground station equipment reliability.,In Progress,CE Fire Protection,,
USSPC-FAC-2026-0096,TRIRIGA-26-12096,Schriever SFB,400,Satellite Operations Facility 400,Server Room,2026-02-07 0700Z,USSPACECOM J6,Routine,Electrical,3,Conduit damage observed along exterior wall; wiring exposed to weather.,Repair conduit and reseal exterior penetration.,Potential � degradation may affect future mission readiness.,Completed,CE Electrical,"Arrived on-site, performed lockout/tagout, and investigated. Found loose connection at breaker lug causing arcing. Re-terminated connection with proper torque and applied anti-oxidant. All circuits tested and verified. Arc flash labels updated.",2026-02-25
USSPC-FAC-2026-0097,TRIRIGA-26-12097,Vandenberg SFB,134,Range Control Facility 134,Ops Floor,2026-02-07 0850Z,USSPACECOM J6,Emergency,Structural,1,Roof membrane damage identified during routine walk-down; ponding water present.,Repair roof membrane and address ponding condition.,Yes � impacts secure communications capability.,In Progress,CE Structural,,
USSPC-FAC-2026-0098,TRIRIGA-26-12098,Vandenberg SFB,51,Launch Operations Building 51,Equipment Room,2026-02-07 0930Z,USSPACECOM J6,Routine,Plumbing,3,Corrosion visible on exposed copper piping in mechanical chase.,Evaluate pipe corrosion and replace affected sections.,No � general facility maintenance.,Submitted,CE Plumbing,,
USSPC-FAC-2026-0099,TRIRIGA-26-12099,Buckley SFB,180,Mission Support Facility 180,Equipment Room A,2026-02-07 1145Z,USSPACECOM J6,Urgent,Power Production,3,Fuel quality test results indicate water contamination in storage tank.,"Drain contaminated fuel, polish tank, and resample.",Yes � affects classified processing environment.,In Progress,CE Power Production,,
USSPC-FAC-2026-0100,TRIRIGA-26-12100,Vandenberg SFB,51,Launch Operations Building 51,Electrical Room,2026-02-07 1300Z,USSPACECOM J2,Emergency,Electrical,2,Voltage sag measured at distribution panel; equipment brownouts reported.,Investigate voltage sag source and correct distribution issue.,Yes � affects classified processing environment.,In Progress,CE Electrical,,
USSPC-FAC-2026-0101,TRIRIGA-26-12101,Schriever SFB,220,Mission Support Building 220,Corridor B,2026-02-07 1645Z,USSPACECOM J6,Routine,Power Production,4,Automatic transfer switch not sensing utility power loss correctly.,Troubleshoot ATS sensing circuit and restore proper operation.,Potential � risk to nearby equipment if condition worsens.,Approved,CE Power Production,,
USSPC-FAC-2026-0102,TRIRIGA-26-12102,Schriever SFB,400,Satellite Operations Facility 400,Server Room,2026-02-07 1710Z,USSPACECOM J6,Emergency,Plumbing,2,Condensate drain line from AHU clogged; water collecting in drain pan.,Clear condensate drain line and treat to prevent recurrence.,Yes � degrades ground station equipment reliability.,In Progress,CE Plumbing,,
USSPC-FAC-2026-0103,TRIRIGA-26-12103,Peterson SFB,145,Operations Building 145,Break Room,2026-02-07 1955Z,USSPACECOM J3,Emergency,Electrical,1,Electrical panel cover missing fasteners; exposed energized components.,Secure panel cover and replace missing fasteners.,Yes � mission-critical data processing environment.,Completed,CE Electrical,"Arrived on-site, performed lockout/tagout, and investigated. Discovered failed UPS battery cells in string 2. Replaced damaged conductor section and resealed conduit. All circuits tested and verified. Arc flash labels updated.",2026-02-09
USSPC-FAC-2026-0104,TRIRIGA-26-12104,Schriever SFB,400,Satellite Operations Facility 400,Antenna Maintenance Area,2026-02-07 2105Z,USSPACECOM J3,Routine,Structural,3,Expansion joint sealant deteriorated on exterior wall; gap visible.,Remove and replace expansion joint sealant.,No � personnel safety and usability concern.,Completed,CE Structural,Technician assessed condition and documented findings. Identified worn hinge pins on door frame. Applied membrane patch and verified watertight seal. Area safe for occupancy. Follow-up inspection scheduled if required.,2026-02-23
USSPC-FAC-2026-0105,TRIRIGA-26-12105,Schriever SFB,220,Mission Support Building 220,Lobby,2026-02-07 2145Z,USSPACECOM J4,Routine,Lighting,4,Exterior security lighting inoperative on building north side.,Repair exterior security lighting and verify coverage.,No � personnel safety concern.,Submitted,CE Lighting,,
USSPC-FAC-2026-0106,TRIRIGA-26-12106,Peterson SFB,105,Communications Hub 105,HVAC Plenum,2026-02-08 0020Z,USSPACECOM J3,Urgent,Lighting,2,LED retrofit fixture failed prematurely; driver humming audible.,Replace failed LED driver and fixture.,Potential � degradation may affect future mission readiness.,In Progress,CE Lighting,,
USSPC-FAC-2026-0107,TRIRIGA-26-12107,Vandenberg SFB,51,Launch Operations Building 51,Roof,2026-02-08 0330Z,USSPACECOM J4,Preventive Maintenance,Electrical,4,Scheduled thermographic survey of main electrical distribution.,Test UPS batteries and replace degraded cells.,No � preventive maintenance.,Completed,CE Electrical,"Arrived on-site, performed lockout/tagout, and investigated. Found corroded neutral bus connection. Redistributed loads and labeled circuits per NEC 408.4. All circuits tested and verified. Arc flash labels updated.",2026-02-21
USSPC-FAC-2026-0108,TRIRIGA-26-12108,Buckley SFB,180,Mission Support Facility 180,Restroom Corridor,2026-02-08 0440Z,USSPACECOM J2,Urgent,Power Production,2,Fuel quality test results indicate water contamination in storage tank.,"Drain contaminated fuel, polish tank, and resample.",No � quality of life issue; no mission degradation.,Completed,CE Power Production,Responded and performed diagnostic on power production equipment. Found block heater element open circuit. Replaced charger rectifier and verified float/equalize modes. Full load test passed; auto-start verified. Logbook updated.,2026-02-11
USSPC-FAC-2026-0109,TRIRIGA-26-12109,Peterson SFB,105,Communications Hub 105,HVAC Plenum,2026-02-08 0545Z,USSPACECOM J3,Routine,Plumbing,3,Water heater temperature/pressure relief valve discharging intermittently.,Inspect and repair T&P relief valve; verify operation.,No � administrative area; no mission systems affected.,In Progress,CE Plumbing,,
USSPC-FAC-2026-0110,TRIRIGA-26-12110,Vandenberg SFB,77,Secure Data Facility 77,Battery Room,2026-02-08 0600Z,USSPACECOM J6,Routine,Lighting,3,High-bay lights in warehouse area cycling on and off intermittently.,Troubleshoot high-bay fixture cycling and correct.,Yes � affects missile warning operations continuity.,Completed,CE Lighting,Technician inspected lighting system. Found ballast failure in fluorescent fixture. Replaced photocell and verified dusk/dawn operation. All fixtures verified operational; light levels measured and within IES standards.,2026-02-25
USSPC-FAC-2026-0111,TRIRIGA-26-12111,Peterson SFB,88,Data Processing Facility 88,Battery Room,2026-02-08 0610Z,USSPACECOM J2,Emergency,Lighting,2,Flickering fluorescent fixtures in office area causing occupant complaints.,Replace flickering fixtures with new lamps or ballasts.,Yes � impacts secure communications capability.,In Progress,CE Lighting,,
USSPC-FAC-2026-0112,TRIRIGA-26-12112,Vandenberg SFB,77,Secure Data Facility 77,Server Room A,2026-02-08 0750Z,USSPACECOM J2,Emergency,Plumbing,2,Sewer odor present in restroom corridor; possible dry trap or vent issue.,Locate and correct source of sewer gas odor.,Yes � supports space domain awareness operations.,Approved,CE Plumbing,,
USSPC-FAC-2026-0113,TRIRIGA-26-12113,Peterson SFB,3,Power Generation Facility 3,Fuel Storage Area,2026-02-08 0855Z,USSPACECOM J3,Urgent,Power Production,2,Automatic transfer switch not sensing utility power loss correctly.,Troubleshoot ATS sensing circuit and restore proper operation.,Yes � loss of backup power to mission facilities.,Completed,CE Power Production,"Technician inspected generator and support systems. Found low coolant level from radiator seep. Replaced charger rectifier and verified float/equalize modes. Generator started, loaded, and verified at rated output. Transfer tested successfully.",2026-02-10
USSPC-FAC-2026-0114,TRIRIGA-26-12114,Buckley SFB,180,Mission Support Facility 180,Exterior Pad,2026-02-08 0955Z,USSPACECOM J2,Urgent,Plumbing,3,Corrosion visible on exposed copper piping in mechanical chase.,Evaluate pipe corrosion and replace affected sections.,No � aesthetic/comfort issue only.,Submitted,CE Plumbing,,
USSPC-FAC-2026-0115,TRIRIGA-26-12115,Peterson SFB,3,Power Generation Facility 3,Transfer Switch Room,2026-02-08 1520Z,USSPACECOM J6,Preventive Maintenance,Fire Protection,4,Fire extinguisher annual inspection and certification.,Schedule and perform FM-200 system annual inspection.,No � preventive maintenance.,Scheduled,CE Fire Protection,,
USSPC-FAC-2026-0116,TRIRIGA-26-12116,Vandenberg SFB,77,Secure Data Facility 77,Battery Room,2026-02-08 1605Z,USSPACECOM J3,Routine,HVAC,3,Ductwork insulation degraded in mechanical chase; condensation dripping onto ceiling tiles.,Replace degraded duct insulation and remediate moisture.,Yes � supports satellite uplink equipment.,Completed,CE HVAC,Inspected system per work order. Found seized bearing on supply fan. Replaced bearing assembly and balanced fan. Verified airflow and temperature within acceptable parameters. Documentation submitted.,2026-02-11
USSPC-FAC-2026-0117,TRIRIGA-26-12117,Buckley SFB,180,Mission Support Facility 180,Exterior Pad,2026-02-08 1705Z,USSPACECOM J2,Routine,HVAC,3,Condensate overflow detected at air handling unit; water pooling on mechanical room floor.,Clear condensate drain and inspect for root cause of overflow.,Yes � degrades ground station equipment reliability.,Approved,CE HVAC,,
USSPC-FAC-2026-0118,TRIRIGA-26-12118,Peterson SFB,88,Data Processing Facility 88,Receiving Area,2026-02-08 1740Z,USSPACECOM J6,Urgent,HVAC,2,Return air temperature sensor reading erratic values; zone control degraded.,Replace return air temperature sensor and recalibrate.,Yes � impacts launch operations support systems.,In Progress,CE HVAC,,
USSPC-FAC-2026-0119,TRIRIGA-26-12119,Vandenberg SFB,77,Secure Data Facility 77,Electrical Vault,2026-02-08 1850Z,USSPACECOM J6,Urgent,Power Production,2,Generator exhaust leak detected at flexible coupling.,Repair exhaust leak and verify emissions containment.,Yes � supports satellite uplink equipment.,In Progress,CE Power Production,,
USSPC-FAC-2026-0120,TRIRIGA-26-12120,Peterson SFB,105,Communications Hub 105,Ground Floor Lobby,2026-02-08 2005Z,USSPACECOM J3,Emergency,HVAC,2,Exhaust fan inoperative in mechanical room; ambient temperature elevated.,Repair or replace exhaust fan motor.,Yes � affects continuous space surveillance mission.,Completed,CE HVAC,Technician responded and found Discovered failed VFD drive board. Replaced bearing assembly and balanced fan. System tested and verified operational at 95�F. All work per UFC 3-410-01.,2026-02-08
USSPC-FAC-2026-0121,TRIRIGA-26-12121,Schriever SFB,302,Communications Facility 302,Equipment Room 1,2026-02-08 2020Z,USSPACECOM J2,Urgent,Electrical,2,Arc flash indicators detected during routine thermographic scan of switchgear.,De-energize and inspect switchgear; address arc flash indicators.,Yes � loss of backup power to mission facilities.,Submitted,CE Electrical,,
USSPC-FAC-2026-0122,TRIRIGA-26-12122,Schriever SFB,400,Satellite Operations Facility 400,Ground Station Control Room,2026-02-08 2115Z,USSPACECOM J3,Urgent,HVAC,3,Degraded airflow detected in underfloor plenum; hot spots forming near rack rows.,Investigate underfloor airflow restriction and restore cooling distribution.,Yes � supports satellite command and control systems.,Approved,CE HVAC,,
USSPC-FAC-2026-0123,TRIRIGA-26-12123,Schriever SFB,155,Operations Building 155,Watch Floor,2026-02-09 0020Z,USSPACECOM J6,Emergency,Electrical,1,Conduit damage observed along exterior wall; wiring exposed to weather.,Repair conduit and reseal exterior penetration.,Yes � affects classified processing environment.,Completed,CE Electrical,"Arrived on-site, performed lockout/tagout, and investigated. Identified undersized conductor on overloaded circuit. Cleaned and re-torqued neutral bus connections. All circuits tested and verified. Arc flash labels updated.",2026-02-11
USSPC-FAC-2026-0124,TRIRIGA-26-12124,Peterson SFB,145,Operations Building 145,Entry Vestibule,2026-02-09 0105Z,USSPACECOM J3,Routine,Electrical,4,Emergency power receptacle non-functional at designated location.,Repair or replace emergency power receptacle.,No � preventive maintenance.,Approved,CE Electrical,,
USSPC-FAC-2026-0125,TRIRIGA-26-12125,Schriever SFB,155,Operations Building 155,UPS Room,2026-02-09 0210Z,USSPACECOM J6,Preventive Maintenance,Lighting,4,Preventive maintenance on exterior lighting and photocell replacement.,Perform 90-minute emergency lighting battery test and document.,No � preventive maintenance.,Scheduled,CE Lighting,,
USSPC-FAC-2026-0126,TRIRIGA-26-12126,Peterson SFB,198,Operations Building 198,Corridor B,2026-02-09 0245Z,USSPACECOM J3,Preventive Maintenance,Fire Protection,4,Fire extinguisher annual inspection and certification.,Perform annual fire alarm inspection and testing.,No � preventive maintenance.,Completed,CE Fire Protection,Responded and placed system in test mode. Discovered failed fire alarm control module. Replaced pull station and tested alarm signal to panel. Fire alarm panel cleared; all devices verified operational.,2026-02-27
USSPC-FAC-2026-0127,TRIRIGA-26-12127,Schriever SFB,155,Operations Building 155,Mechanical Penthouse,2026-02-09 0250Z,USSPACECOM J3,Routine,Electrical,3,Ground fault detected on branch circuit serving critical equipment.,Locate and clear ground fault on branch circuit.,Yes � loss of backup power to mission facilities.,In Progress,CE Electrical,,
USSPC-FAC-2026-0128,TRIRIGA-26-12128,Schriever SFB,400,Satellite Operations Facility 400,Electrical Room,2026-02-09 0645Z,USSPACECOM J3,Emergency,Plumbing,1,Domestic water pressure low throughout facility; measured at 26 PSI vs 60 PSI normal.,Investigate low water pressure and restore to normal.,Yes � affects continuous space surveillance mission.,In Progress,CE Plumbing,,
USSPC-FAC-2026-0129,TRIRIGA-26-12129,Peterson SFB,3,Power Generation Facility 3,Fuel Storage Area,2026-02-09 0700Z,USSPACECOM J6,Emergency,Electrical,2,Overheating detected at bus bar connection in electrical room via thermal imaging.,Repair overheating connection and verify with thermal imaging.,Yes � impacts real-time telemetry processing.,Completed,CE Electrical,"Arrived on-site, performed lockout/tagout, and investigated. Identified undersized conductor on overloaded circuit. Replaced conductor with properly sized wire per NEC. All circuits tested and verified. Arc flash labels updated.",2026-02-11
USSPC-FAC-2026-0130,TRIRIGA-26-12130,Buckley SFB,180,Mission Support Facility 180,Exterior Pad,2026-02-09 0810Z,USSPACECOM J6,Urgent,Structural,3,Crack observed in exterior wall exceeding 1/4 inch width; moisture intrusion suspected.,"Assess crack, seal exterior, and monitor for propagation.",No � administrative area; no mission systems affected.,In Progress,CE Structural,,
USSPC-FAC-2026-0131,TRIRIGA-26-12131,Peterson SFB,210,Operations Building 210,SR-01 (Primary Server Room),2026-02-09 0940Z,USSPACECOM J3,Emergency,Lighting,1,Parking lot light pole 7 dark; ballast or photocell suspected.,Replace ballast or photocell and restore pole light operation.,Yes � impacts real-time telemetry processing.,In Progress,CE Lighting,,
USSPC-FAC-2026-0132,TRIRIGA-26-12132,Vandenberg SFB,134,Range Control Facility 134,Mechanical Room,2026-02-09 1250Z,USSPACECOM J6,Preventive Maintenance,Lighting,4,Preventive maintenance on exterior lighting and photocell replacement.,Inspect and replace photocells on exterior fixtures.,No � preventive maintenance.,In Progress,CE Lighting,,
USSPC-FAC-2026-0133,TRIRIGA-26-12133,Peterson SFB,88,Data Processing Facility 88,Receiving Area,2026-02-09 1615Z,USSPACECOM J4,Emergency,Lighting,1,Exit sign lamp out at emergency egress route.,Replace exit sign lamp and verify illumination.,Yes � supports satellite command and control systems.,Approved,CE Lighting,,
USSPC-FAC-2026-0134,TRIRIGA-26-12134,Schriever SFB,155,Operations Building 155,Comm Closet 3A,2026-02-09 1800Z,USSPACECOM J6,Urgent,Electrical,3,Emergency power receptacle non-functional at designated location.,Repair or replace emergency power receptacle.,No � preventive maintenance.,Approved,CE Electrical,,
USSPC-FAC-2026-0135,TRIRIGA-26-12135,Buckley SFB,180,Mission Support Facility 180,Restroom Corridor,2026-02-09 1830Z,USSPACECOM J2,Routine,Lighting,3,Exterior security lighting inoperative on building north side.,Repair exterior security lighting and verify coverage.,Potential � degradation may affect future mission readiness.,Completed,CE Lighting,Technician inspected lighting system. Discovered failed photocell. Repaired wiring connection and verified circuit integrity. All fixtures verified operational; light levels measured and within IES standards.,2026-02-14
USSPC-FAC-2026-0136,TRIRIGA-26-12136,Peterson SFB,145,Operations Building 145,Electrical Room,2026-02-09 1920Z,USSPACECOM J4,Routine,Electrical,4,Ground fault detected on branch circuit serving critical equipment.,Locate and clear ground fault on branch circuit.,No � general facility maintenance.,Submitted,CE Electrical,,
USSPC-FAC-2026-0137,TRIRIGA-26-12137,Peterson SFB,88,Data Processing Facility 88,Server Hall A,2026-02-09 1925Z,USSPACECOM J6,Routine,Structural,3,Expansion joint sealant deteriorated on exterior wall; gap visible.,Remove and replace expansion joint sealant.,Yes � affects continuous space surveillance mission.,Completed,CE Structural,Arrived on-site and performed structural assessment. Found raised floor pedestal adjustment screws loosened. Patched spalled area with structural repair mortar. Condition stable; documented in facility records.,2026-02-25
USSPC-FAC-2026-0138,TRIRIGA-26-12138,Schriever SFB,302,Communications Facility 302,Equipment Room 2,2026-02-09 2110Z,USSPACECOM J4,Preventive Maintenance,HVAC,4,Server room temperature measured at 90�F due to reduced airflow from AHU-8.,Inspect fan motor bearings and replace if worn.,No � preventive maintenance.,Completed,CE HVAC,"Inspected system per work order. Identified refrigerant undercharge due to slow leak at service valve. Cleared drain, treated with biocide, and verified flow. Verified airflow and temperature within acceptable parameters. Documentation submitted.",2026-02-12
USSPC-FAC-2026-0139,TRIRIGA-26-12139,Peterson SFB,88,Data Processing Facility 88,Server Hall B,2026-02-09 2210Z,USSPACECOM J3,Urgent,ESS,3,Electronic lock on secure door not responding to valid credentials.,Replace electronic lock actuator and verify operation.,No � personnel safety concern.,Approved,CE ESS,,
USSPC-FAC-2026-0140,TRIRIGA-26-12140,Peterson SFB,88,Data Processing Facility 88,Receiving Area,2026-02-09 2215Z,USSPACECOM J3,Routine,Plumbing,3,Sewer odor present in restroom corridor; possible dry trap or vent issue.,Locate and correct source of sewer gas odor.,Yes � intermittent loss of operator consoles.,Completed,CE Plumbing,Responded and isolated affected section. Identified water hammer from quick-closing valve. Rebuilt backflow preventer with new internals; passed test. Flow verified at all fixtures. Area cleaned and restored.,2026-02-22
USSPC-FAC-2026-0141,TRIRIGA-26-12141,Schriever SFB,155,Operations Building 155,Comm Closet 3A,2026-02-09 2330Z,USSPACECOM J3,Urgent,HVAC,2,Exhaust fan inoperative in mechanical room; ambient temperature elevated.,Repair or replace exhaust fan motor.,Yes � supports satellite command and control systems.,Completed,CE HVAC,Inspected system per work order. Found clogged condensate drain line. Replaced actuator and verified damper full-stroke operation. Verified airflow and temperature within acceptable parameters. Documentation submitted.,2026-02-13
USSPC-FAC-2026-0142,TRIRIGA-26-12142,Vandenberg SFB,134,Range Control Facility 134,Ops Floor,2026-02-10 0000Z,USSPACECOM J3,Routine,Electrical,3,Overheating detected at bus bar connection in electrical room via thermal imaging.,Repair overheating connection and verify with thermal imaging.,Yes � affects classified processing environment.,Submitted,CE Electrical,,
USSPC-FAC-2026-0143,TRIRIGA-26-12143,Buckley SFB,312,Operations Annex 312,Secure Entry Vestibule,2026-02-10 0020Z,USSPACECOM J3,Emergency,Electrical,2,Power monitoring system reporting harmonics above threshold on critical bus.,Install harmonic filtering or identify harmonic source.,Yes � impacts real-time telemetry processing.,Approved,CE Electrical,,
USSPC-FAC-2026-0144,TRIRIGA-26-12144,Buckley SFB,312,Operations Annex 312,Rooftop,2026-02-10 0040Z,USSPACECOM J6,Urgent,ESS,2,Access control panel communication fault; door status unknown.,Restore communication between access control panel and host.,Yes � affects continuous space surveillance mission.,Approved,CE ESS,,
USSPC-FAC-2026-0145,TRIRIGA-26-12145,Vandenberg SFB,51,Launch Operations Building 51,Roof,2026-02-10 0135Z,USSPACECOM J2,Routine,HVAC,4,Building automation system reporting communication loss with AHU-5 controller.,Restore BAS communication with AHU controller.,No � personnel safety and usability concern.,In Progress,CE HVAC,,
USSPC-FAC-2026-0146,TRIRIGA-26-12146,Schriever SFB,400,Satellite Operations Facility 400,Electrical Room,2026-02-10 0235Z,USSPACECOM J4,Preventive Maintenance,ESS,4,Preventive maintenance on access control system firmware and hardware.,Repair intercom system and test two-way communication.,No � preventive maintenance.,Scheduled,CE ESS,,
USSPC-FAC-2026-0147,TRIRIGA-26-12147,Schriever SFB,302,Communications Facility 302,Equipment Room 1,2026-02-10 0310Z,USSPACECOM J6,Routine,Lighting,4,Emergency lighting battery unit failed self-test; no backup illumination.,Replace emergency lighting battery unit and test.,No � quality of life issue; no mission degradation.,Completed,CE Lighting,Technician inspected lighting system. Discovered failed photocell. Replaced ballast and installed new lamps. All fixtures verified operational; light levels measured and within IES standards.,2026-02-23
